listings
id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17143,-86.7357,Private room,43,30,670,3/3/2020,3.63,1,172,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 25,36.12466,-86.81269,Private room,70,1,478,6/6/2024,5.05,1,186,106,
59576,Large Main Suite near Lake *ladies only NS plz,812128,Patricia And John,,District 12,36.1894,-86.59162,Private room,43,30,2,9/14/2022,0.08,9,178,0,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,107,2,731,6/10/2024,4.6,1,49,40,
258817,"ButterflyRoom-queen room, private bath",22296,Diana,,District 12,36.16076,-86.59151,Private room,39,30,97,12/27/2023,0.64,6,301,1,
289242,"MorningstarHouse, monthly room- open June 3",22296,Diana,,District 12,36.16296,-86.59113,Private room,34,30,76,1/12/2019,0.5,6,336,0,
329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,114,2,1391,6/19/2024,9.26,7,114,106,
340081,Affordable room in 4 bedroom house.,22296,Diana,,District 12,36.16122,-86.59007,Private room,34,30,81,1/27/2024,0.54,6,354,3,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16499,-86.75054,Private room,97,1,336,6/16/2024,2.29,1,331,28,
421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,110,2,1041,6/20/2024,7.1,7,38,52,
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,98,2,1043,6/19/2024,7.12,7,41,54,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,259,2,526,6/10/2024,3.58,7,283,35,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15606,-86.64991,Private room,,2,27,6/29/2015,0.2,1,0,0,
632636,Admire Skyline from the Rooftop Terrace Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,178,2,437,5/22/2024,3.02,7,47,19,
637425,Art room French Flair,2427763,Dody &Rodney,,District 6,36.19236,-86.743,Private room,133,1,179,6/9/2024,1.24,2,364,15,
